4932	Natural Selection 2 - Deluxe DLC	http://www.metacritic.com/game/pc/natural-selection-2
6000	Star Wars Republic Commando	http://www.metacritic.com/game/pc/star-wars-republic-commando
6020	Star Wars Jedi Knight: Jedi Academy	http://www.metacritic.com/game/pc/star-wars-jedi-knight-jedi-academy
6030	Star Wars - Jedi Knight II: Jedi Outcast	http://www.metacritic.com/game/pc/star-wars-jedi-knight-ii-jedi-outcast
6060	Star Wars - Battlefront II	http://www.metacritic.com/game/pc/star-wars-battlefront-ii
6080	Thrillville: Off the Rails	http://www.metacritic.com/game/pc/thrillville-off-the-rails
6090	Armed and Dangerous	http://www.metacritic.com/game/pc/armed-and-dangerous
6100	Eets	http://www.metacritic.com/game/pc/eets
6110	Eets Demo	http://www.metacritic.com/game/pc/eets
6200	Ghost Master	http://www.metacritic.com/game/pc/ghost-master
6220	FlatOut	http://www.metacritic.com/game/pc/flatout
6230	FlatOut Demo	http://www.metacritic.com/game/pc/flatout
6250	Making History: The Calm & The Storm	http://www.metacritic.com/game/pc/making-history-the-calm-and-the-storm
6260	Making History: The Calm & The Storm Demo	http://www.metacritic.com/game/pc/making-history-the-calm-and-the-storm
6270	Ducati World Championship	http://www.metacritic.com/game/pc/ducati-world-championship
6300	Dreamfall: The Longest Journey	http://www.metacritic.com/game/pc/dreamfall-the-longest-journey
6310	The Longest Journey	http://www.metacritic.com/game/pc/the-longest-journey
6320	The Longest Journey Demo	http://www.metacritic.com/game/pc/the-longest-journey
6370	Bloodline Champions	http://www.metacritic.com/game/pc/bloodline-champions
6400	Joint Task Force	http://www.metacritic.com/game/pc/joint-task-force
6410	Joint Task Force Demo	http://www.metacritic.com/game/pc/joint-task-force
6420	Nexus: The Jupiter Incident	http://www.metacritic.com/game/pc/nexus-the-jupiter-incident
6510	Lost Planet: Extreme Condition	http://www.metacritic.com/game/pc/lost-planet-extreme-condition
6550	Devil May Cry 3: Special Edition	http://www.metacritic.com/game/pc/devil-may-cry-3-special-edition
6570	Onimusha 3: Demon Siege	http://www.metacritic.com/game/pc/onimusha-3-demon-siege
6580	Lost Planet: Extreme Condition Trial	http://www.metacritic.com/game/pc/lost-planet-extreme-condition
6830	Commandos 2: Men of Courage	http://www.metacritic.com/game/pc/commandos-2-men-of-courage
